Survived,Pclass,Sex,SibSp,Parch,Embarked,FamilySize,IsAlone,FareGroup,InCabin,Deck,RoomGroup,AgeGroup,Title
0,3,True,0,0,S,1,1,A,False,N,r1,Student,Mr
0,1,True,0,0,C,1,1,C,False,N,r1,Unknown,Mr
0,3,True,0,0,C,1,1,A,False,N,r1,Student,Mr
0,1,False,1,2,S,4,0,D,True,C,r1,Baby,Miss
1,1,True,0,0,S,1,1,C,True,C,r4,Unknown,Mr
1,1,False,0,1,C,2,0,D,True,B,r2,Adult,Mrs
1,3,False,0,0,Q,1,1,A,False,N,r1,Unknown,Miss
1,3,True,2,0,Q,3,0,C,False,N,r1,Unknown,Mr
0,3,True,0,0,S,1,1,A,False,N,r1,Student,Mr
1,2,False,0,0,Q,1,1,B,True,E,r4,Unknown,Miss
0,3,True,0,0,S,1,1,B,False,N,r1,Unknown,Mr
1,1,True,1,2,S,4,0,D,True,C,r1,Baby,Master
1,1,False,0,0,C,1,1,D,False,N,r1,Unknown,Miss
1,1,False,1,0,C,2,0,D,True,C,r2,Teenager,Mrs
0,2,True,1,0,C,2,0,C,False,N,r1,Young Adult,Mr
1,1,False,0,0,C,1,1,D,True,E,r1,Young Adult,Miss
1,1,False,0,0,C,1,1,D,True,C,r2,Student,Miss
1,1,False,2,2,C,5,0,D,True,B,r2,Teenager,Miss
0,2,False,1,1,S,3,0,C,False,N,r1,Young Adult,Mrs
0,3,True,0,0,S,1,1,A,False,N,r1,Young Adult,Mr
0,2,True,1,1,S,3,0,C,False,N,r1,Adult,Mr
1,3,False,0,0,S,1,1,A,False,N,r1,Young Adult,Miss
1,2,False,1,0,S,2,0,C,False,N,r1,Student,Mrs
0,2,True,0,0,S,1,1,B,False,N,r1,Adult,Rare
1,1,False,0,2,S,3,0,D,True,C,r1,Young Adult,Miss
1,1,False,1,1,C,3,0,D,True,E,r1,Adult,Mrs
0,3,True,0,0,S,1,1,A,False,N,r1,Student,Mr
0,3,True,0,0,S,1,1,A,False,N,r1,Young Adult,Mr
1,2,False,0,0,Q,1,1,B,False,N,r1,Young Adult,Miss
1,2,False,1,1,S,3,0,C,False,N,r1,Student,Mrs
0,3,True,8,2,S,11,0,D,False,N,r1,Unknown,Mr
1,1,False,0,0,C,1,1,D,True,C,r1,Adult,Miss
0,3,True,0,0,S,1,1,A,False,N,r1,Senior,Mr
1,2,False,0,0,S,1,1,B,True,D,r1,Adult,Mrs
1,3,False,1,1,S,3,0,C,False,N,r1,Young Adult,Mrs
1,1,False,0,1,C,2,0,D,True,B,r1,Teenager,Miss
1,3,False,2,0,Q,3,0,C,False,N,r1,Unknown,Miss
0,1,True,0,0,S,1,1,C,True,C,r4,Adult,Mr
0,1,True,0,1,S,2,0,D,True,C,r3,Adult,Mr
0,3,True,2,0,S,3,0,C,False,N,r1,Teenager,Mr
1,1,False,1,0,S,2,0,D,False,N,r1,Unknown,Mrs
0,3,True,0,0,S,1,1,A,False,N,r1,Unknown,Mr
0,1,True,1,0,S,2,0,D,True,C,r1,Young Adult,Mr
1,1,False,0,0,C,1,1,D,True,E,r1,Adult,Miss
1,3,True,0,0,S,1,1,B,False,N,r1,Adult,Mr
0,1,True,0,0,S,1,1,D,True,T,r1,Adult,Mr
1,2,True,1,1,S,3,0,C,True,F,r1,Baby,Master
1,1,False,3,2,S,6,0,D,True,C,r1,Student,Miss
0,2,True,0,0,S,1,1,B,False,N,r1,Young Adult,Mr
0,2,True,0,0,S,1,1,B,False,N,r1,Young Adult,Mr
0,2,True,0,0,S,1,1,B,False,N,r1,Adult,Mr
1,2,False,0,0,S,1,1,B,True,F,r1,Student,Miss
1,2,False,0,0,S,1,1,B,False,N,r1,Adult,Miss
1,3,False,1,0,S,2,0,C,False,N,r1,Unknown,Mrs
1,3,True,1,1,S,3,0,C,False,N,r1,Baby,Master
0,3,True,0,0,S,1,1,B,False,N,r1,Adult,Mr
0,3,True,0,0,S,1,1,B,False,N,r1,Student,Mr
0,1,True,0,0,S,1,1,D,True,C,r4,Unknown,Mr
0,3,True,1,1,C,3,0,A,False,N,r1,Teenager,Mr
0,3,True,1,0,S,2,0,C,False,N,r1,Young Adult,Mr
0,3,True,0,0,C,1,1,A,False,N,r1,Unknown,Mr
0,3,True,0,0,S,1,1,B,False,N,r1,Young Adult,Mr
1,1,False,0,1,S,2,0,D,True,E,r1,Student,Miss
0,2,False,0,0,S,1,1,B,False,N,r1,Adult,Miss
1,3,False,0,0,Q,1,1,A,False,N,r1,Unknown,Miss
1,3,False,0,0,Q,1,1,A,False,N,r1,Unknown,Miss
0,3,True,1,4,S,6,0,C,False,N,r1,Adult,Mr
0,2,True,1,0,C,2,0,C,False,N,r1,Young Adult,Mr
0,3,False,0,1,C,2,0,B,False,N,r1,Adult,Mrs
0,3,True,0,0,S,1,1,A,False,N,r1,Young Adult,Mr
0,3,True,1,0,Q,2,0,C,False,N,r1,Unknown,Mr
0,3,True,0,0,S,1,1,A,False,N,r1,Young Adult,Mr
1,1,False,1,0,C,2,0,D,True,D,r1,Adult,Mrs
1,3,False,0,0,C,1,1,A,False,N,r1,Unknown,Mrs
1,3,False,0,0,Q,1,1,A,False,N,r1,Unknown,Miss
1,1,False,0,0,C,1,1,D,True,B,r1,Student,Mrs
1,1,True,1,0,C,2,0,D,True,E,r1,Young Adult,Mr
0,3,True,1,0,S,2,0,A,False,N,r1,Teenager,Mr
0,3,True,0,0,S,1,1,B,False,N,r1,Student,Mr
0,1,True,0,0,C,1,1,D,False,N,r1,Student,Mr
0,3,False,3,1,S,5,0,C,False,N,r1,Baby,Miss
1,1,False,1,0,C,2,0,D,False,N,r1,Unknown,Mrs
1,3,False,0,0,S,1,1,A,False,N,r1,Student,Miss
0,1,True,0,2,C,3,0,D,True,C,r3,Young Adult,Mr
0,3,True,0,0,C,1,1,A,False,N,r1,Student,Mr
0,3,True,0,0,S,1,1,A,False,N,r1,Student,Mr
1,1,False,0,0,C,1,1,D,False,N,r1,Adult,Miss
1,3,False,0,2,C,3,0,C,False,N,r1,Baby,Miss
0,3,True,0,0,S,1,1,B,False,N,r1,Young Adult,Mr
1,1,False,1,0,S,2,0,D,False,N,r1,Young Adult,Mrs
0,3,True,0,0,S,1,1,A,False,N,r1,Unknown,Mr
0,2,True,0,0,S,1,1,D,False,N,r1,Teenager,Mr
0,3,True,5,2,S,8,0,D,False,N,r1,Baby,Master
1,2,False,0,0,S,1,1,B,False,N,r1,Adult,Miss
0,3,True,0,0,Q,1,1,A,False,N,r1,Unknown,Mr
1,2,False,0,0,C,1,1,B,False,N,r1,Teenager,Miss
1,1,True,1,2,S,4,0,D,True,B,r3,Adult,Mr
1,3,True,0,0,S,1,1,A,False,N,r1,Student,Mr
0,3,True,2,0,S,3,0,B,False,N,r1,Young Adult,Mr
1,1,False,1,0,C,2,0,D,True,D,r1,Student,Miss
1,3,False,0,2,S,3,0,C,True,G,r1,Student,Mrs
0,3,True,0,0,S,1,1,A,False,N,r1,Student,Mr
0,3,False,0,0,S,1,1,A,False,N,r1,Young Adult,Miss
0,2,True,0,0,S,1,1,C,False,N,r1,Adult,Mr
0,2,True,0,0,S,1,1,B,False,N,r1,Student,Rare
1,2,False,0,0,S,1,1,B,False,N,r1,Young Adult,Mrs
1,3,True,0,0,S,1,1,B,False,N,r1,Adult,Mr
0,3,True,0,0,S,1,1,B,False,N,r1,Young Adult,Mr
0,3,False,1,0,S,2,0,B,False,N,r1,Student,Miss
0,3,True,1,0,S,2,0,C,False,N,r1,Young Adult,Mr
0,3,False,0,0,S,1,1,B,False,N,r1,Student,Miss
0,2,True,1,0,S,2,0,C,False,N,r1,Young Adult,Mr
0,3,True,0,0,S,1,1,A,False,N,r1,Adult,Mr
1,2,True,1,1,S,3,0,C,False,N,r1,Baby,Master
0,3,True,0,0,S,1,1,A,False,N,r1,Student,Mr
0,3,False,3,1,S,5,0,C,False,N,r1,Unknown,Miss
0,3,True,0,0,S,1,1,A,False,N,r1,Unknown,Mr
0,3,True,0,0,Q,1,1,A,False,N,r1,Unknown,Mr
1,1,False,1,0,Q,2,0,D,True,C,r3,Young Adult,Miss
0,2,True,0,0,S,1,1,A,False,N,r1,Unknown,Mr
1,3,True,0,0,S,1,1,B,False,N,r1,Adult,Mr
0,3,False,0,0,S,1,1,B,False,N,r1,Unknown,Mrs
1,2,False,1,1,S,3,0,D,False,N,r1,Young Adult,Mrs
1,2,False,0,2,S,3,0,B,False,N,r1,Teenager,Miss
0,2,True,0,0,S,1,1,B,False,N,r1,Young Adult,Mr
0,3,False,0,2,S,3,0,C,False,N,r1,Child,Miss
0,3,True,0,0,C,1,1,A,False,N,r1,Unknown,Mr
0,3,True,0,0,Q,1,1,A,False,N,r1,Student,Mr
0,3,True,0,0,S,1,1,A,False,N,r1,Young Adult,Mr
0,3,False,1,1,S,3,0,B,False,N,r1,Young Adult,Mrs
0,3,True,1,1,S,3,0,C,False,N,r1,Teenager,Mr
0,3,True,0,0,S,1,1,A,False,N,r1,Unknown,Mr
1,2,False,1,0,S,2,0,C,False,N,r1,Young Adult,Mrs
1,2,False,0,0,S,1,1,C,False,N,r1,Student,Miss
0,3,True,0,0,Q,1,1,A,False,N,r1,Unknown,Mr
1,3,True,0,0,S,1,1,B,True,E,r1,Young Adult,Mr
1,1,True,0,0,S,1,1,C,True,C,r2,Young Adult,Mr
1,3,False,1,0,S,2,0,C,False,N,r1,Unknown,Mrs
1,2,False,1,0,S,2,0,C,False,N,r1,Adult,Mrs
0,3,True,0,0,S,1,1,A,False,N,r1,Teenager,Mr
0,1,True,1,0,S,2,0,D,True,E,r1,Adult,Mr
1,1,False,1,2,S,4,0,D,True,B,r3,Teenager,Miss
0,3,False,2,2,S,5,0,D,False,N,r1,Student,Miss
1,2,False,2,3,S,6,0,C,False,N,r1,Student,Mrs
0,1,True,1,4,S,6,0,D,True,C,r1,Senior,Mr
0,2,True,0,0,S,1,1,B,False,N,r1,Young Adult,Mr
1,2,False,1,1,S,3,0,C,False,N,r1,Adult,Mrs
0,3,True,0,0,S,1,1,B,False,N,r1,Student,Mr
0,3,True,1,0,S,2,0,A,False,N,r1,Young Adult,Mr
1,2,False,0,0,S,1,1,B,False,N,r1,Young Adult,Miss
1,3,True,0,0,S,1,1,B,False,N,r1,Unknown,Mr
1,1,True,0,2,S,3,0,D,True,A,r1,Baby,Master
1,2,False,0,1,S,2,0,C,False,N,r1,Teenager,Miss
1,1,True,0,0,S,1,1,C,False,N,r1,Young Adult,Mr
1,3,False,2,1,C,4,0,C,False,N,r1,Baby,Miss
1,1,True,0,0,S,1,1,C,True,C,r4,Adult,Rare
0,2,True,1,2,S,4,0,C,False,N,r1,Adult,Mr
0,3,True,1,0,S,2,0,C,False,N,r1,Unknown,Mr
0,1,True,0,0,C,1,1,C,True,C,r4,Young Adult,Mr
1,1,True,1,0,C,2,0,D,True,C,r3,Adult,Mr
0,3,True,0,0,S,1,1,B,False,N,r1,Unknown,Mr
1,3,True,0,0,C,1,1,A,False,N,r1,Young Adult,Mr
0,1,True,0,0,S,1,1,C,True,E,r1,Senior,Mr
1,1,False,1,0,S,2,0,D,True,D,r1,Unknown,Mrs
1,2,False,0,0,S,1,1,B,False,N,r1,Adult,Miss
0,3,True,0,0,Q,1,1,A,False,N,r1,Unknown,Mr
1,1,True,0,0,S,1,1,C,True,E,r1,Adult,Mr
0,3,True,0,0,S,1,1,B,False,N,r1,Young Adult,Mr
0,1,True,0,0,S,1,1,D,True,E,r2,Adult,Mr
0,2,True,0,0,S,1,1,B,False,N,r1,Adult,Mr
0,3,True,0,0,S,1,1,B,False,N,r1,Unknown,Mr
0,3,True,0,0,S,1,1,A,False,N,r1,Adult,Mr
0,2,True,0,0,S,1,1,A,False,N,r1,Unknown,Mr
0,1,True,0,0,S,1,1,C,False,N,r1,Adult,Mr
0,3,True,0,0,Q,1,1,A,False,N,r1,Unknown,Mr
1,3,False,2,1,C,4,0,C,False,N,r1,Baby,Miss
0,3,True,0,0,S,1,1,A,False,N,r1,Unknown,Mr
0,3,True,0,0,S,1,1,B,False,N,r1,Adult,Mr
1,2,False,1,2,S,4,0,C,False,N,r1,Young Adult,Mrs
1,2,False,0,0,C,1,1,B,True,D,r1,Student,Mrs
0,3,False,0,0,S,1,1,B,False,N,r1,Student,Miss
0,1,True,0,0,S,1,1,D,True,A,r1,Unknown,Mr
0,2,True,1,0,S,2,0,C,False,N,r1,Young Adult,Mr
0,3,True,1,0,S,2,0,A,False,N,r1,Young Adult,Mr
0,3,True,0,0,S,1,1,A,False,N,r1,Student,Mr
1,3,False,0,1,S,2,0,B,False,N,r1,Baby,Miss
0,3,True,5,2,S,8,0,D,False,N,r1,Child,Master
0,2,True,0,0,S,1,1,A,False,N,r1,Unknown,Mr
0,3,True,0,0,S,1,1,B,False,N,r1,Adult,Mr
1,3,False,0,0,S,1,1,B,False,N,r1,Senior,Mrs
1,1,True,1,0,C,2,0,D,True,B,r1,Young Adult,Mr
0,3,False,3,1,S,5,0,C,False,N,r1,Unknown,Miss
1,1,False,1,0,S,2,0,D,True,C,r3,Young Adult,Mrs
0,1,True,0,0,C,1,1,C,True,B,r1,Adult,Mr
0,3,True,0,0,S,1,1,B,False,N,r1,Young Adult,Mr
1,3,True,1,1,S,3,0,C,False,N,r1,Child,Master
0,3,True,1,0,S,2,0,C,False,N,r1,Unknown,Mr
0,3,True,0,0,S,1,1,A,False,N,r1,Student,Mr
0,1,True,0,0,S,1,1,C,True,C,r1,Adult,Mr
0,1,True,0,0,C,1,1,D,False,N,r1,Senior,Mr
0,3,True,0,0,S,1,1,B,False,N,r1,Student,Mr
0,3,True,0,0,C,1,1,C,False,N,r1,Unknown,Mr
1,1,False,1,0,C,2,0,D,True,D,r1,Adult,Miss
0,3,True,0,0,S,1,1,C,False,N,r1,Unknown,Mr
0,1,False,1,2,S,4,0,D,True,C,r1,Young Adult,Mrs
0,3,True,0,0,S,1,1,A,False,N,r1,Student,Mr
0,3,True,0,0,S,1,1,B,False,N,r1,Teenager,Mr
0,3,False,0,0,Q,1,1,A,False,N,r1,Student,Miss
0,3,False,0,0,Q,1,1,A,False,N,r1,Unknown,Miss
0,3,False,0,0,S,1,1,B,False,N,r1,Adult,Miss
1,1,False,0,0,S,1,1,D,True,B,r3,Teenager,Miss
0,1,True,1,0,C,2,0,D,True,C,r2,Teenager,Mr
1,2,False,0,2,S,3,0,C,False,N,r1,Young Adult,Mrs
1,1,True,0,0,S,1,1,C,False,N,r1,Unknown,Mr
0,3,True,0,0,S,1,1,C,False,N,r1,Young Adult,Mr
1,3,True,0,0,S,1,1,D,False,N,r1,Young Adult,Mr
1,3,True,0,0,Q,1,1,A,False,N,r1,Young Adult,Mr
0,3,True,0,0,S,1,1,B,False,N,r1,Unknown,Mr
1,1,True,0,0,S,1,1,C,True,E,r1,Adult,Mr
1,1,False,1,0,C,2,0,D,False,N,r1,Adult,Mrs
0,3,True,0,0,S,1,1,A,False,N,r1,Student,Mr
0,1,True,0,0,S,1,1,D,True,D,r1,Adult,Mr
1,2,False,0,0,S,1,1,B,True,F,r1,Young Adult,Mrs
0,3,True,0,0,Q,1,1,C,False,N,r1,Unknown,Mr
1,2,False,1,0,S,2,0,C,False,N,r1,Adult,Mrs
0,3,True,0,0,S,1,1,A,False,N,r1,Young Adult,Mr
1,1,False,0,0,S,1,1,D,True,B,r2,Young Adult,Miss
0,3,True,0,0,S,1,1,A,False,N,r1,Student,Mr
0,3,True,0,0,C,1,1,A,False,N,r1,Unknown,Mr
1,1,False,0,1,C,2,0,D,True,B,r1,Adult,Mrs
0,3,True,0,0,C,1,1,A,False,N,r1,Unknown,Mr
0,3,True,0,0,Q,1,1,A,False,N,r1,Adult,Mr
1,2,False,0,0,S,1,1,B,False,N,r1,Adult,Miss
0,1,True,0,0,S,1,1,D,True,C,r3,Unknown,Mr
0,3,True,0,0,S,1,1,B,False,N,r1,Adult,Mr
0,2,True,2,1,S,4,0,B,False,N,r1,Student,Mr
1,2,False,1,1,S,3,0,C,False,N,r1,Baby,Miss
0,3,True,0,0,C,1,1,A,False,N,r1,Unknown,Mr
0,3,True,1,1,C,3,0,A,False,N,r1,Teenager,Mr
1,3,False,0,2,C,3,0,C,False,N,r1,Unknown,Mrs
0,3,False,0,0,S,1,1,B,False,N,r1,Young Adult,Miss
1,2,False,0,2,S,3,0,C,False,N,r1,Child,Miss
0,1,True,0,0,S,1,1,C,True,B,r1,Adult,Rare
1,1,False,0,0,C,1,1,D,False,N,r1,Young Adult,Miss
0,3,True,0,0,S,1,1,C,False,N,r1,Unknown,Mr
1,1,False,0,2,C,3,0,D,True,B,r1,Student,Miss
1,1,False,0,2,S,3,0,D,True,B,r1,Adult,Miss
0,3,False,4,2,S,7,0,D,False,N,r1,Child,Miss
0,3,False,4,2,S,7,0,D,False,N,r1,Child,Miss
1,2,True,1,0,S,2,0,C,False,N,r1,Young Adult,Mr
0,1,True,1,0,C,2,0,D,True,C,r3,Adult,Mr
0,1,True,0,0,S,1,1,C,False,N,r1,Senior,Mr
1,2,False,1,0,S,2,0,C,False,N,r1,Student,Mrs
1,2,True,0,0,C,1,1,B,False,N,r1,Unknown,Mr
0,3,True,1,1,S,3,0,C,False,N,r1,Young Adult,Mr
1,2,True,1,1,S,3,0,D,False,N,r1,Child,Master
1,1,True,0,2,C,3,0,D,True,C,r2,Teenager,Mr
0,2,True,0,0,S,1,1,C,False,N,r1,Young Adult,Mr
0,3,True,0,0,Q,1,1,A,False,N,r1,Unknown,Mr
1,3,True,0,0,C,1,1,A,False,N,r1,Student,Mr
1,3,False,0,0,S,1,1,A,False,N,r1,Student,Miss
0,1,True,0,0,S,1,1,C,False,N,r1,Senior,Mr
1,1,False,1,0,C,2,0,D,True,A,r1,Adult,Rare
0,1,True,0,0,C,1,1,D,False,N,r1,Unknown,Mr
1,1,False,1,1,S,3,0,D,True,E,r2,Adult,Mrs
1,3,False,1,0,S,2,0,C,False,N,r1,Adult,Mrs
0,3,True,0,0,Q,1,1,A,False,N,r1,Unknown,Mr
0,3,True,0,0,S,1,1,A,False,N,r1,Adult,Mr
0,2,True,0,0,S,1,1,B,False,N,r1,Young Adult,Mr
0,3,True,0,0,S,1,1,B,False,N,r1,Unknown,Mr
0,3,False,0,0,S,1,1,B,False,N,r1,Unknown,Miss
0,3,True,2,0,S,3,0,C,False,N,r1,Student,Mr
0,3,True,0,0,S,1,1,A,False,N,r1,Student,Mr
0,3,False,0,4,S,5,0,C,False,N,r1,Young Adult,Mrs
0,3,True,0,0,C,1,1,A,False,N,r1,Unknown,Mr
1,3,True,0,0,S,1,1,A,False,N,r1,Young Adult,Mr
1,2,True,0,0,S,1,1,B,False,N,r1,Senior,Mr
1,1,False,2,0,S,3,0,D,True,C,r4,Adult,Mrs
1,1,True,0,0,S,1,1,C,True,E,r1,Adult,Mr
1,3,False,0,0,Q,1,1,A,False,N,r1,Unknown,Miss
0,3,True,0,0,S,1,1,B,False,N,r1,Teenager,Mr
0,3,True,0,0,S,1,1,C,False,N,r1,Student,Mr
1,2,False,0,0,S,1,1,B,False,N,r1,Young Adult,Miss
1,1,False,1,0,S,2,0,D,True,E,r1,Adult,Mrs
0,3,False,1,0,C,2,0,C,False,N,r1,Unknown,Mrs
1,3,True,0,0,S,1,1,B,False,N,r1,Young Adult,Mr
1,2,False,1,1,S,3,0,C,False,N,r1,Young Adult,Miss
1,1,False,1,1,C,3,0,D,True,C,r2,Adult,Mrs
0,2,True,0,0,S,1,1,C,False,N,r1,Adult,Mr
0,1,True,0,0,C,1,1,D,True,A,r1,Adult,Mr
0,3,True,0,0,C,1,1,B,False,N,r1,Unknown,Mr
1,1,False,0,2,S,3,0,D,True,E,r2,Teenager,Miss
0,2,True,0,0,S,1,1,C,False,N,r1,Adult,Mr
1,1,True,1,1,C,3,0,D,True,B,r1,Adult,Mr
0,3,True,0,0,S,1,1,B,False,N,r1,Student,Mr
0,3,True,0,0,S,1,1,B,False,N,r1,Unknown,Mr
0,3,True,0,0,S,1,1,A,False,N,r1,Young Adult,Mr
1,1,False,1,0,C,2,0,D,True,D,r1,Adult,Mrs
